method,image_path,segmentation_path,skeleton_path,precision,recall,f1_score,parameters
morphological_gradient_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results\morphological_gradient_segmentation_seuil30_selem_radius3_segmentation.png,media/results\morphological_gradient_segmentation_seuil30_selem_radius3_skeleton.png,0.4111381618989653,0.6100240818783865,0.49121318628045085,"{'seuil': 30, 'selem_radius': 3}"
external_gradient_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results\external_gradient_segmentation_seuil30_selem_radius4_segmentation.png,media/results\external_gradient_segmentation_seuil30_selem_radius4_skeleton.png,0.5570448380405297,0.5064558247497462,0.530547112462006,"{'seuil': 30, 'selem_radius': 4}"
gradient_based_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results\gradient_based_segmentation_seuil_grad10_seuil_closing30_selem_radius_grad4_selem_radius_closing1_segmentation.png,media/results\gradient_based_segmentation_seuil_grad10_seuil_closing30_selem_radius_grad4_selem_radius_closing1_skeleton.png,0.5570448380405297,0.5064558247497462,0.530547112462006,"{'seuil_grad': 10, 'seuil_closing': 30, 'selem_radius_grad': 4, 'selem_radius_closing': 1}"
watershed_segmentation_with_markers,./images_IOSTAR/star01_OSC.jpg,media/results\watershed_segmentation_with_markers_min_distance10_seuil20_scale_min2_scale_max8_segmentation.png,media/results\watershed_segmentation_with_markers_min_distance10_seuil20_scale_min2_scale_max8_skeleton.png,0.7086429409464216,0.41455044612216885,0.523094688221709,"{'min_distance': 10, 'seuil': 20, 'scale_min': 2, 'scale_max': 8}"adaptive_treshold_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results\adaptive_treshold_segmentation_adaptive_methodmedian_block_size17_C5_blurTrue_segmentation.png,media/results\adaptive_treshold_segmentation_adaptive_methodmedian_block_size17_C5_blurTrue_skeleton.png,0.7214059884694067,0.7106998900696225,0.7160129210890631,"{'adaptive_method': 'median', 'block_size': 17, 'C': 5, 'blur': True}"
adaptive_treshold_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results\adaptive_treshold_segmentation_adaptive_methodmedian_block_size17_C5_blurTrue_segmentation.png,media/results\adaptive_treshold_segmentation_adaptive_methodmedian_block_size17_C5_blurTrue_skeleton.png,0.7214059884694067,0.7106998900696225,0.7160129210890631,"{'adaptive_method': 'median', 'block_size': 17, 'C': 5, 'blur': True}"
adaptive_treshold_segmentation_with_opening,./images_IOSTAR/star01_OSC.jpg,media/results\adaptive_treshold_segmentation_with_opening_adaptive_methodmedian_block_size17_C5_blurFalse_opening_radius1_segmentation.png,media/results\adaptive_treshold_segmentation_with_opening_adaptive_methodmedian_block_size17_C5_blurFalse_opening_radius1_skeleton.png,0.8295292439372325,0.653248455345441,0.7309102335812296,"{'adaptive_method': 'median', 'block_size': 17, 'C': 5, 'blur': False, 'opening_radius': 1}"
unet_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results\unet_segmentation_threshold0.7_segmentation.png,media/results\unet_segmentation_threshold0.7_skeleton.png,0.9045609805103476,0.8523286633850814,0.7820065131243379,{'threshold': 0.7}
tophat_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/tophat_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/tophat_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.6577520780628839,0.5654808140438092,0.6081363294628686,"{'radius': 8, 'black': True, 'threshold': 20}"
tophat_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/tophat_segmentation_radius4_blackTrue_threshold20_segmentation.png,media/results/tophat_segmentation_radius4_blackTrue_threshold20_skeleton.png,0.6906599768429178,0.5383574007220217,0.6050718512256973,"{'radius': 4, 'black': True, 'threshold': 20}"
tophat_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/tophat_segmentation_radius5_blackTrue_threshold50_segmentation.png,media/results/tophat_segmentation_radius5_blackTrue_threshold50_skeleton.png,0.7025329280648429,0.5495324140117293,0.6166844539309854,"{'radius': 5, 'black': True, 'threshold': 50}"
